n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2269T2615953W,4,2,4,20,6,4,6,159.3,23.8,100.0,18589.8,23821.0,2787.0,1979,3
2231T0461783S,3,2,4,22,6,7,6,102.3,2.8,100.0,7403.0,17026.9,2147.0,1989,3
2214T0422455L,2,2,5,25,6,4,6,440.9,58.7,177.1,108961.0,131391.2,8739.0,1996,6
2395T2119682O,4,2,0,9,6,7,6,2458.9,89.8,66.1,77753.0,178831.9,10799.9,2002,7
2394T2686905U,5,2,5,25,6,2,6,277.8,79.2,96.0,47876.5,49847.3,4600.5,1970,5
2421T0198221K,5,2,4,9,6,7,6,1085.7,30.2,100.0,120784.3,277804.0,0.4,-1,7
2220T2607606Y,4,2,5,25,6,7,6,173.0,4.8,279.0,13411.0,30845.3,2163.8,2008,4
2295T0788585M,3,2,4,10,6,7,6,1238.3,82.6,100.0,29298.3,53751.3,3382451.0,1989,7
2331T0921359T,4,2,2,19,6,7,6,111.1,3.1,100.0,70562.3,162293.4,20468.3,-1,3
2193T0221789N,0,6,0,25,4,7,2,189.0,19.0,14151.5,1698382.0,189.0,163585.7,1995,4
2291T2483783G,4,2,4,25,6,7,6,709.1,19.7,100.0,647026.3,1488160.6,76192.0,1970,6
2144T0756797W,1,2,4,5,6,7,6,152.0,4.2,100.0,67452.5,155140.8,8094.5,2006,3
2495T0368114P,5,2,4,26,6,7,6,190.8,5.3,100.0,9387.3,21590.9,1380.0,-1,3
2221T0382101Q,3,2,5,25,6,7,6,149.0,4.1,179.8,11649.0,26792.7,1927.0,1970,3
2386T1116166L,4,2,4,22,6,7,6,346.9,9.7,100.0,23479.7,54003.2,3918.6,-1,5
2354T2378064T,4,0,4,22,7,7,5,61.2,1.7,100.0,81372.4,187156.5,11245.7,2023,2
2475T0597539W,5,2,4,22,6,7,6,258.1,7.2,100.0,386231.0,888331.3,112034.0,-1,4
2211T0164344Z,3,2,4,20,6,7,6,57.6,1.6,100.0,1380.0,3174.0,400.0,1948,2
2144T0362648H,0,2,5,25,6,7,6,248.1,9.1,4372.5,1415214.0,3254992.2,228218.4,2006,4
2375T0985023B,4,3,4,22,6,5,6,75.5,13.6,100.0,204666.7,204666.7,22405.0,-1,2
2244T0824770G,3,2,4,25,6,7,6,311.4,8.7,100.0,8339.0,19179.7,2419.0,1947,5
2255T1014402F,3,2,5,10,6,7,3,231.0,39.0,519.6,80967.0,186225.0,13113.0,1948,4
2234T1853579L,3,2,4,7,6,7,6,271.4,15.1,100.0,3097.4,6030.2,402.2,2009,3
2214T0132021X,3,2,4,9,6,4,6,30.9,7.0,100.0,981.1,981.1,78.0,1948,1
2177T0399012E,0,4,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2211T1348851Y,3,2,5,25,6,7,6,117.8,3.3,350.2,17942.0,41266.6,2924.7,1900,3
2244T0064886Y,2,2,0,25,7,7,2,566.0,15.0,47.3,11646.3,566.3,635.4,1945,6
2484T0362329R,5,2,4,16,6,4,6,263.0,49.9,100.0,312363.9,349414.7,31961.4,-1,4
2206T2974994S,4,2,4,22,6,7,6,92.9,4.2,100.0,938.0999999999999,1942.2,126.6,-1,2
2391T0539567T,4,2,4,25,6,4,6,38.5,8.7,100.0,32129.0,32129.0,9320.0,-1,2
2317T2479484C,5,2,4,7,6,7,6,232.5,6.5,100.0,368770.0,848171.0,55537.0,1994,3
2395T0406790C,4,2,4,9,6,7,6,288.0,8.0,100.0,86503.0,198956.9,13234959.0,-1,5
2375T0201637V,4,2,4,22,6,7,6,194.8,5.4,100.0,36154.0,83154.2,1499952.0,-1,3
2380T0014335C,4,0,4,22,7,7,4,227.7,6.3,100.0,18387.6,42291.5,2541.2,-1,4
2159T0796423N,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2314T0338089Q,4,2,5,25,6,7,4,228.0,30.0,176.0,63063.0,63063.0,5355.0,1980,4
2260T2179224G,4,2,4,26,6,7,6,551.7,32.6,100.0,1297898.1,2480231.2,117202.8,1972,6
2349T1146036W,4,3,4,26,6,7,6,379.5,10.6,100.0,6414.0,14752.2,1860.5,-1,5
2214T3205137R,4,0,0,25,4,4,2,103.0,15.0,120.1,10677.400000000001,123.0,1386.0,2023,2
2320T0311132B,4,3,4,26,6,7,6,223.4,6.2,100.0,17280.0,39744.0,2976.0,-1,4
2173T0714101V,1,2,4,10,6,7,6,293.1,52.1,100.0,9255.5,12838.3,1393.1,1975,5
2369T2135942Y,4,3,4,9,6,7,6,160.1,4.5,100.0,3428.0,7884.4,699.0,-1,3
2213T2320651Y,4,3,4,10,6,7,6,212.5,5.9,100.0,8567.0,19704.1,2484.7,-1,4
2339T0209649P,4,2,4,22,6,4,6,210.0,37.0,100.0,21529.0,25154.7,2893.0,1988,3
2169T0895353X,1,2,5,26,6,7,3,305.0,8.0,72.7,28884.0,66432.0,4827.0,2009,4
2194T0947943O,2,2,4,16,6,7,6,214.8,6.0,100.0,9658.0,22213.4,2801.0,1936,4
2269T0699122P,3,2,4,22,6,7,6,411.8,40.5,100.0,32414.6,51077.4,5354.5,1948,5
2161T0717594S,1,2,4,26,6,4,6,103.2,16.9,100.0,171689.4,209044.3,14011.0,1993,2
2226T2332922K,4,2,4,23,6,7,6,42.8,1.2,100.0,9293.0,21373.9,2016.0,-1,2
2354T1991156R,4,2,4,16,6,4,6,81.4,15.1,100.0,302658.8,342568.0,39153.3,-1,2
2359T2097118I,4,2,4,9,6,7,6,154.2,4.3,100.0,15000.0,34500.0,4351.0,-1,3
2362T3194784J,5,2,4,10,6,7,6,252.0,29.7,100.0,23255.3,38357.399999999994,4433.7,-1,4
2377T4203411H,5,2,0,25,7,7,2,191.0,5.0,630.9,52578.0,191.7,12945.2,1948,4
2371T0728271V,4,3,5,10,6,7,3,363.0,42.0,116.0,30690.0,70587.0,5112.0,1948,5
2472T0138894O,5,2,4,9,6,7,6,209.9,5.8,100.0,75703.7,174118.4,16304.3,-1,4
2367T0768569P,4,2,5,25,4,4,2,252.3,57.3,58.6,44352.0,44352.0,795.0,1990,4
2462T0179192C,5,2,4,26,6,7,6,401.6,11.2,100.0,2570.0,5911.0,745.0,-1,6
2114T0089302V,0,2,5,10,6,7,4,298.0,58.0,454.4,328305.0,328305.0,17301.0,1900,5
2292T0125235X,3,2,4,22,6,7,6,235.2,6.5,100.0,4500.0,10350.0,1000.0,1948,4
2185T0789178W,1,2,4,9,6,7,6,68.3,1.9,100.0,3183.0,7320.9,407.0,1947,2
2159T0334015P,0,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2242T0502717N,3,2,4,9,6,7,6,209.5,11.4,100.0,17036.0,33353.6,2570.7,1930,4
2278T2865592S,4,2,4,26,6,7,6,193.4,5.4,100.0,59186.0,136127.8,10440.0,-1,3
2342T4430616P,5,2,0,9,6,7,6,121.9,8.7,29889.0,2645983.6,4730992.5,321155.0,1979,3
2459T0393127G,5,3,4,22,6,7,6,519.3,14.4,100.0,6333.0,14565.9,553.0,-1,5
2204T0250638S,3,2,4,9,6,7,6,656.4,18.3,100.0,7500.0,17250.0,1200.0,1947,7
2131T0364661F,0,4,4,5,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2328T2570705A,5,2,4,9,6,2,6,114.9,21.1,100.0,79247.6,108236.29999999999,12270.5,-1,3
2285T0759515A,3,2,4,11,6,7,6,282.7,9.7,100.0,611434.5,1359547.6,168696.7,2010,3
2174T0451916V,0,2,4,22,4,4,2,125.7,28.5,100.0,8135.6,8135.6,636.3,1989,3
2321T3446506K,5,2,5,25,4,4,2,92.6,18.5,58.9,5026.0,5453.7,913.0,1975,3
2374T0872904T,4,3,4,26,6,7,6,527.0,14.7,100.0,10749.0,24722.7,1267.3,-1,5
2371T3630824M,5,2,2,9,6,7,6,721.7,20.1,100.0,1175058.0,2702633.4,168852.5,2016,7
2275T0005099Q,2,2,2,9,7,7,2,739.5,20.6,27.5,17670.0,40641.0,2881.3,1910,5
2125T0347124M,0,6,5,25,6,4,6,156.7,32.1,272.0,108810.80000000002,108810.80000000002,8258.8,1875,3
2321T0564780U,4,2,0,16,1,1,2,95.0,8.0,5620.0,427226.69999999995,95.19999999999999,44253.1,2010,2
2212T2413921F,4,2,4,22,6,7,6,243.9,6.8,1100.0,349900.0,804770.0,56001.5,1980,4
2307T3233562S,5,2,5,25,6,7,6,358.6,10.0,112.0,52389.0,120494.70000000001,8432.400000000001,2001,5
2105T0481456I,0,2,4,25,6,7,6,460.9,12.8,100.0,84788.0,195012.4,13557.0,2013,6
2207T1406948H,3,2,5,26,6,7,6,203.7,24.8,308.0,55800.0,128340.0,8977.8,1960,3
2378T3650200Z,5,2,5,25,6,7,6,169.0,4.7,574.0,42180.0,97014.0,6800.2,1980,3
2234T0639868G,2,2,5,25,6,7,3,282.0,8.0,250.0,91935.0,211452.0,14868.0,1988,4
2391T3550282M,5,2,4,9,6,7,6,303.0,8.4,100.0,8608.7,19799.9,2497.3,1992,5
2142T0410479W,0,4,4,20,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2392T1561868B,4,2,5,26,6,7,6,527.4,14.7,437.8,301147.0,692638.1,33126.2,2010,5
2192T0691744R,1,4,4,16,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2138T0344017M,0,6,5,25,6,7,6,294.3,10.7,89.0,10915.0,25104.5,2818.1,1900,5
2291T0732922L,3,2,5,25,6,7,6,306.7,8.5,39.0,5200.0,11960.0,912.2,1900,5
2435T0151755U,5,3,5,9,6,4,6,272.1,61.8,96.8,26356.0,26356.0,1951.8,1900,5
2368T1259636V,4,2,4,8,6,4,6,272.1,53.1,100.0,338983.0,372576.3,40872.0,-1,5
2311T1389773X,5,2,5,25,6,7,6,373.6,10.4,494.4,80304.0,184699.2,12895.8,2003,5
2156T0059336X,0,6,0,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
